店铺名称,联系电话,地址
左花215店,18631353535,西河沿街52号(四市对面)
左花1876店,13001931269,小关53号
科瓦齿科(蓝色港湾门诊),0,地址：
吉祥馄饨,010-57146790,滨河路
酒美网,4006008009,www.winenice.com
御美人,18874487188,地址：
北京双海国际旅游有限公司,010-83663751/010-57165987,庄维多摩市花园
荷妍专业永久脱毛连锁机构(国贸店),010-58695095,地址：
中青环球国旅(通州店),13693693349,园景大厦旁
怀柔旅游网,18600359799,怀柔周边
澳玛·星光医疗美容连锁(崇文门分院),4006880805,地址：
阳光咖啡厅,010-5906188-6221,白云观街7号长安白云大酒店一层内天井
绝味鸭脖(四惠店),18240888836,力源里北街2号院5号楼金地名京1层105底商绝味鸭脖店
CSU科技抗衰中心(三里屯店),18618198579,地址：
采育镇葡萄采摘园,15910508536/135523134,采育镇采辛路西口(京福路与采辛路交叉口往采育方向80米路北)
香草影堂婚纱摄影(东城店),4001761579,
华盛堂跆拳道,13699282508,东关体育场斯爆特
觅ART婚礼艺术场地,4000268920-1371,百子湾路21号(后现代城对面)
凤溪人家,13560439242,灌信南平信大窝社
e龙旅行网,010-58602288,www.elong.com
YOUNG SKIN皮肤管理中心(朝阳大悦城店),15910710423,地址：
赶火车网,010-5252179,www.ganhuoche.com/
库巴购物网,010-51268180,www.coo<d8.com
瑞禧私房婚礼庄园,4000308610-9361,建国路88号SOHO现代城3号楼3003
佑一良品,4008808810,www.uiyi.cn
Like团,4000345666/010-5192316,www.liketuan.com
品质团,010-5216177,www.pztuan.com
博西雅眼镜,13146354915,东三家南路潘家园桥北路东北京眼镜城4层二期DD-20号，扶梯上四层后左拐直行到头再左拐
丫丫团购网,4006634569,www.<d2yaya.com
丽诺La Bellino西服定制礼服衬衫大衣,4001761719,
高朋网,4008819123,www.gaopeng.com
睿朗德西装礼服西服定制(双井店),4000268920-4213,
珍品网,010-82608283,www.zhenpin.com
银泰网,400191,www.yintai.com
京华时报社京华亿家超市,010-57387777,www.yijia<d360.com
雅酷网,4008123888,www.yacol.com
知我药妆,4006301018,www.zhiwo.com
酒仙网,4006179999,www.jiuxian.com(亦庄经济开发区经海园路数字工厂)
麦圈网,4000881822,www.much<d001.com
水仙之美-精准护肤(丽都花园店),010-53659418,地址：
