店铺名称,联系电话,详细地址
福缘烤肉王(勒泰店),0311-66768899,长安区中山东路39号勒泰中心4楼
比亚森啤酒健康自助烤肉(裕华店),0311-83075888,裕华区建华南大街与槐安路交叉口东北角东明国际广场5层（万达广场对面）
福缘烤肉王(怀特店),0311-66506188/66506199,裕华区槐安东路怀特商业广场三层（自商家中间电梯上3楼即到）
比格比萨自助(中山东路店),0311-89259850,桥西区中山东路与休门街交叉口东南角（北国商场西行300米路南）
吉木自助烤肉(华强店),0311-88816039,新华区民族路华强广场四楼西南角
吉木自助烤肉(乐汇城店),0311-86215831,桥西区大经街乐汇城5楼
洋葱花(西美花街店),15710316711,桥西区红旗南大街与汇丰路交汇处西南角西美花街3楼
伊尔曼都烤肉(正定店),0311-89186898,正定县华安西路正定小商品服装城4楼
河北味道(卓达店),0311-87103333/80910333,裕华区翟营大街389号卓达商贸广场河北人家
喜识嘎嘣脆抹茶炒酸奶(汇华店),15369373091,桥西区红旗大街469号汇华广场C座裙楼一层104号
比格比萨自助(东胜广场店),0311-85855655,长安区中山东路与翟营大街交叉口东胜广场三楼东侧
鑫海汇海鲜烤肉自助(北国商城店),0311-89669896/89669897,桥西区中山东路188号北国商城8层
汉釜宫韩式自助烤肉(开发区店),0311-68076822,裕华区珠峰大街与淮河道交口东行80米路南花香漫城底商3楼（天山海世界）
好伦哥(柏林店),0311-66779289,新华区中华北大街238号（中华北大街与联盟路交叉口北行100米路西，家乐福保龙仓超市2楼）
熊姥姥炒酸奶(勒泰店),15369360837,长安区中山东路172号石家庄勒泰中心5层
达洛优(万达店),0311-89803857,裕华区槐安东路万达商场3号入口南行10米
Sicily西西哩,0311-86915858,长安区体育北大街56号美丽华大酒店1楼(和平东路口南侧路西)
吉木海鲜烤肉自助餐厅(万达广场店),0311-86906995,裕华区建华南大街136号万达广场3层
德克士(卓达店),0311-67598813,裕华区翟营南大街与塔南路交叉口卓达商贸广场2号楼一楼
鱼货(乐汇城店),0311-86066008,桥西区中山东路11号乐汇城4F-W01号（中山东路11号乐汇城四楼西北角）
金圆大厦旋转餐厅,0311-88614888,新华区中华北大街3号金圆大厦31楼（地铁一号线新百广场站D出口）
德克士(正定北国店),0311-89192960,正定县恒山西路北国商城一层
希尔顿视界美食自助餐厅,0311-67966666,长安区东大街5号石家庄希尔顿酒店30楼（近北国先天下购物广场、河北省博物馆）
苏顺成纯绿豆饼(红旗南大街店),18932908493,桥西区红旗大街与新石南路交口北行50米路西中山日化旁
麻小丨麻辣诱惑(勒泰店),0311-66768866,长安区中山东路39号勒泰中心4层
苏顺成绿豆饼(中山东路店),18932908493,长安区中山东路与建华大街交口西行100米路南
德克士(中山路店),0311-68022120,桥西区中山路与休门街交口东南角
四季捞,0311-66169999,裕华区育才街槐北路口西行50米路南(近河北宾馆)
德克士(怀特店),0311-66698776,裕华区育才街312号（育才街与东岗路交叉口向北行路西）
丽莎蓓甜提拉米?蛋糕店(东胜广场店),0311-89189568/89900020,长安区中山东路与谈固西街交叉口西行50米路南（东胜商业广场永辉超市入口服务台对面）
杨翔豆皮涮牛肚(乐汇城店),0311-66189782,"桥西区中山东路11号,乐汇城4楼-N02室（乐汇城4楼西北角）"
宁三怪?香烤猪蹄化骨绵爪,13126133056,裕华区万达步行街与槐岭路万达三号门对过
茉莉花开创意川味餐厅(万象天成店),0311-66600629,桥西区裕华西路15号万象天成5层
喜识嘎嘣脆抹茶炒酸奶(万达一店),15369370859,裕华区万达广场3号门步行街南行20米
韩石城自助烤肉(新乐店),0311-85519866,新乐市中心城区鲜虞北街112号公园对过
汉釜宫自助餐,0311-85778685/13833452742,无极县中心城区无极东路与光明街交口东50米路南
德克士(西兴店),0311-66183881,桥西区中山西路845号北国超市（西兴店）东临
奶酪时光休闲西餐厅(万达广场店),0311-67796216,裕华区万达广场2号门三楼（大玩家超乐场旁）
阿上阿上鲜汤麻辣烫(万达金街店),0311-66697722,裕华区建华南大街万达广场3楼北侧（大玩家对面）
一品渝香好吖好鸭时尚干锅鸭头(勒泰店),0311-66767711,长安区中山东路172号勒泰中心4层
多芝多芝新西兰岩烧乳酪(勒泰店),13032617856,长安区中山东路勒泰三楼电梯口旁
金春禧(北国商城店),0311-89669696,桥西区中山东路188号北国商城7层
德克士(简良店),0311-68092100,桥西区三简路与建东街交口北国超市简良店一楼
