店铺名称,联系电话,详细地址
阪尚皇自助餐厅,0758-2213886,端州区端州四路8号印象汇广场三楼01-02铺
禾美即做寿司料理(碧湖店),0758-6920806,端州区端州四路碧湖广场3楼C10室
可素蔬食自助餐厅,0758-2825030,端州区天宁北路63号好世界购物中心4楼4011室
蒙自源过桥米线(海伦广场店),0758-3177311,四会市清塘大道海伦城市广场首层
豪亨世家,0758-2263253,端州区端州四路大润发4楼
星湖大酒店29楼旋转西餐厅,0758-2211888,端州区端州四路37号星湖大酒店29楼
华莱士(肇庆车站店),0758-2838565,端州区端州四路17号肇庆客运总站大楼首层十一、十二卡
绿茵阁西餐厅,0758-2213662,端州区星湖国际广场二期一楼
多美丽炸鸡?汉堡餐厅(四会龙城分店),0758-3393919,四会市龙凤路邮政旁边
华莱士(大旺店),0758-3638979,四会市政德街朱伟民商住楼A幢11-12号
茶知客(文化宫店),0758-2359789,端州区天宁北路青年文化宫院内（蓝宫宾馆旁）
饪我行,2585558,端州区康乐北路9号1层101卡商铺(康乐国际广场1层)
华莱士(西江北路店),0758-2827717,端州区西江北路33号
豪亨世家(四会广场店),0758-3362266,四会市四会大道南四会广场一楼5号门左侧
华莱士(西江南路店),0758-2581838,端州区西江南路西侧江南苑二期1号楼106卡
桥源居过桥米线,0758-3117576,四会市东城街道四会大道南东城段19号四会广场四层4013号
师竹面(翠星店),0758-2817133,端州区翠星路4号
华莱士(睦岗店),0758-2878857,端州区睦岗镇桂林街452号首层（大口九隔壁）
万岁寿司料理(时代广场店),0758-2735377,端州区端州五路广百时代广场四楼06铺
华莱士(鼎湖桂城店),0758-2694616,鼎湖区水坑镇华贵路名都宾馆首层
啡言?包语,0758-3385236/13413805695,四会市马田建设路33号首层
品德基?口来福,0758-2696820/15323581943,鼎湖区水坑大道贺华超市旁
华莱士(南岸店),0758-8398585,高要区南岸南兴二路55号第1、2卡铺
美优乐(南亭店),0758-8381181,高要区南兴二路61号
华莱士(黄岗店),0758-2718977,端州区端州二路22号（黄岗公交车旁）
华莱士(华英店),0758-2329899/15889736292,端州区友谊路华英聚雅苑第6-7号铺
鹿儿岛啡言.包语(龙城店),0758-3311218,四会市中山路81号（中山公园牌坊侧）
烘培时间DIY蛋糕,15986929175/13542987401,四会市教育路4座6号（名望发廊正对面）
