北京汉丽轩自助烤肉火锅超市(香港城店),0391-3127177,解放区解放中路香港城四楼
汉丽轩自助烤肉火锅超市(锦江店),0391-2953337,解放区人民路与民主南路交叉口北300米路东
老北京爆肚,13839176679,解放区解放中路三维广场与贸易大厦中间步行街青柠檬美食城门口旁
艳阳天第三乐章炉鱼店,0391-2993990,山阳区人民路中信银行向北40米（壹里洋场旁）
鼎鼎牛二楼韩式自助烤肉,0391-3285599,山阳区解放中路267号(人民医院对面)
正新鸡排(焦作店),15715670721,解放区解放路永乐生活电器西边路口方达旅馆楼下
阳光牧场牛排大虾烧烤涮自助,0391-8338555,解放区解放中路恒基财富大厦负一楼
甘茶度(王府井店),0391-8822588/400-672-8890,解放区民主南路王府井5楼
正新鸡排(博爱店),13017581312,博爱县商贸城台北街中段361度隔壁
渔知?烤鱼(香港城店),0391-8799808,解放区香港城4楼香港美食城内
巧妈烤肉拌饭,18625882808,解放区青年路老理工大东门往南20米路东
紫陵红云米皮店分店,15978738918,沁阳市新民街14号（中天欧亚路105号）
杨铭宇黄焖鸡米饭(新华街店),0391-3863111,解放区新华街中国人寿保险南15米路西（香港城西门对面）
五谷渔粉(三维广场店),15670860232,解放区三维商业广场西门金脚丫鞋城对面
正新鸡排(景文店),13523362309,解放区和平街景文百货购物中心西侧88号（和平街与民主中路交叉口向东100米路南）
杨国福麻辣烫(总店),18336881181/18348277170,解放区三维南门向西50米路南商业小吃街
阳光阿里,15839112313,博爱县澳门街与?城路交叉口西南角（老新世纪东门南）
漫格咖啡,0391-2226888,山阳区塔南路新华书店北口西行三十米
老荆家黑米皮,0391-8345679,武陟县和平路老胖发祥南100米路西
杨铭宇黄焖鸡米饭(沁阳店),15639150494,沁阳市香港街与怀府西路交叉口向南200米路东（清华园毛毛超市南邻）
虎哥螺蛳粉,13839152980,解放区人民路王府井步行街（文博城南）
福明轩重庆火锅,0391-3966186,山阳区塔南路摩登街天桥南50米路西太极景润商铺（大商超市斜对面）
三锅演义,0391-2689898,解放区民主南路与人民路交叉口西100米路南
刘一锅筋头巴脑一锅香,0391-8865588,山阳区塔南路（原朝阳集贸市场）
李福记鱼火锅,0391-2623000,山阳区塔南路太极景润太极苑8号（大商超市斜对面）
越秀.蜜之坊(解放中路店),0391-2929901,解放区解放中路东北侧（新华街口）新华书店旁
可心蛋糕,0391-8366679/17344909888,山阳区韩愈路万鑫商城B区0213号（南门第二排，建材行隔壁）
两岸咖啡,0391-3936333/15503910522,解放区人民路王府井百货商场向北100米路东（锦江现代城东区）
蛋挞世家(景文店),15333912607,解放区和平街景文百货西20米路南
张三哥金钱麻辣爆肚2店,13782693029/13782811262,沁阳市怀府中路商业步行街M17号（挤破门饰品正对面）
张三哥金钱麻辣爆肚,0391-8689119/18103918983,博爱县商贸城清化街康生堂西20米（日月书店对面）
正新鸡排(辉煌店),15939153305,山阳区解放中路东方红广场百货大楼广苑超市门口
艳阳天第三乐章炉鱼店(第一分店),0391-3925666,解放区新华中街与解放路交叉口往南100米路西
丁哥黑鱼馆,0391-3973888,山阳区中海摩登商业街与焦东路交叉口西行100米路北（近摩登街）
崔娜鸡排,0391-3820368,温县太行路胖发祥对面
N多寿司(学生路店),18317269170,解放区学生路与民主路交叉口德克士旁（百货大楼）
好利来(丹尼斯店),0391-8793699,山阳区新区人民路丹尼斯东100米
五谷渔粉(和平街总店),13124055065,解放区和平街市场北门斜对面
零下一度cake,0391-8791997/19903919678/13703912220,山阳区市委环巷人民公园南门路口向东20米
焦氏美味寿司,15538900030,解放区解放中路步行街老庙银楼北10米（近解放路）
一尊皇牛,0391-2856688,解放区果园路与和平街交叉口北20米路东（大杨树）
王先森,0391-8866155/17638562429,山阳区世纪路河南理工大学校内学府餐厅西门口
澳门海鲜豆捞(迎宾路店),0391-3586677/3588333,山阳区迎宾路长途汽车站北300米路西龙源世家东门口
芭拉公主,13383915787,博爱县中山路清化商贸城第二条街B栋13号
艾尼路麻辣香锅(摩登街店),0391-3598818,山阳区中海摩登商业街五星电器东侧20米（近奥斯卡影城）
阿利茄汁面(香港城店),18625877006,解放区新华街香港城一楼丹尼斯旁
土大力休闲餐厅(王府井店),0391-8822288,解放区人民路与民主路交叉口王府井百货5楼
蜜?蜜制鲜饮,17737095361,解放区王府井商场6楼（横店电影院西边）
重庆鸡公煲(武陟总店),15538999207/15639104708,武陟县朝阳一路与黄河大道交叉口西南角青少年宫楼下
?思叔叔蛋糕房,0391-3589990,山阳区摩登街商业步行街3号楼A03号1层商铺
聚福斋北京果木烤鸭(工业路店),18539127879,解放区工业路与民主路交叉口向东200米路北
小哥俩黄焖鸡米饭(理工大西门店),13782796992,山阳区韩愈路与玉溪路叉口向东150米路南（万鑫商城南门马路对面）
徐府一品大虾(大杨树店),0391-2900068,解放区和平街大杨树商业街好乐迪斜对面（十字路口东北角）
虾客行?香辣虾,0391-3603000,山阳区摩登街11号（中海丽江底商）
蜜雪冰城(胖发祥店),15346155696,武陟县和平路与朝阳一路交叉口西北角（老胖发祥对面）
秦镇朝鲜面(东方百货分店),13393884787/15346166988,山阳区百货大楼东方百货4楼美食城
索记麻辣烫,13523191639,沁阳市怀府西路焦百生活广场斜对面中国银行旁
槐店王婆大虾,0391-3349998,山阳区焦东路十二中对面
大脸鸡排,13598516626,温县古温大街与振兴路交叉口北20米路东
好利来(三维店),2288089,解放区解放路三维商业广场北大门
zizipie滋滋,13839163007,解放区青年北路5号
锅里锅外,0391-2935558,解放区新华街与烈士街交叉口东北角
N多寿司(龙源湖小学店),13838909263,山阳区长恩路龙源湖小区北门
五谷渔粉(十一中总店),15838964499,解放区解放路与青年路交叉口向北15米路东
伊兰面包坊,0391-8301948/15138093125,山阳区焦东路工业路交叉口向东400米路南
花千代秘制烤鱼(锦江现代城店),0391-2923456,解放区人民路与民主南路交叉口往北500米路东（锦江现代城商业街）
刘记黄焖鸡米饭(新华街店),13707688159/15639163294,解放区新华街中段香港城西门南10米路东
正新鸡排(太行店),13462837837,沁阳市香港街太行新村东口北侧
清真?小肥牛涮烤一体店,0391-8622108,博爱县中山路与葵城路交叉口西南角（新宏大百货四楼）
遇见cake烘焙工坊,0391-8344214/15939103632,山阳区人民公园南门口东20米路南（市委环巷远大南北院北苑北门口向西路南）
清阁苑清真欢乐自助餐厅,0391-3288885,山阳区东环路与建设路交叉口北500米路西
好利来(东方红广场店),0391-3288119,山阳区东方红广场百货大楼1楼
华莱士炸鸡汉堡(温县店),0391-6166488/15538929028,温县人民大街与振兴路交叉口（盛宏人民店南门）
勒布朗海鲜牛排自助,0391-8307830,解放区民主南路万达4楼
聚福斋北京果木烤鸭(太极景润店),15503917642,山阳区塔南路与中海摩登商业街交叉口南行150米路东
黄焖鸡米饭,0391-3866669,沁阳市步行街与自由门交叉口东南角
华莱士(沁阳餐厅),0391-5195953,沁阳市怀府路汽车站对面三维商业广场（海尔隔壁）
正新鸡排(高利店),15036510452,解放区和平街和平市场北门对面
聚福斋北京果木烤鸭(塔南路店),18639157665,山阳区塔南路与和平街交叉口向南20米路西（古玩城对面）
蒂奥滋烘焙,0391-8336877,山阳区东方红街道和平街与焦东路交叉口往西500米路南（消防队斜对面）
小哥俩黄焖鸡米饭(焦作师专店),18236880898,山阳区山阳路与博爱路交叉口，焦作师专对面（在福润多超市往南10米左右的距离）
酒窝甜品(武陟店),0391-7615115,武陟县朝阳二街龙泉湖一号商业街（龙泉湖西侧）
{清真}金门蛋糕,0391-3992028/18625876976,山阳区工业路与焦东路交叉口（轮胎厂十字口）东50米路南
五谷渔粉(朝阳路店),13939107296,山阳区站前路与朝阳路交叉口向北100米路西（朝阳南路邮局对面）
米爱五谷养生粥坊,0391-3650666/13613918562,山阳区焦东路丽景新天地1号楼2号商铺（焦东路小学对面）
爱拉屋西饼店(温县店),0391-6128066/13938160700,温县黄河路中段蓝梦大酒店对面
丹师傅蛋糕房(香港街店),0391-5191111,沁阳市怀府西路与香港街交叉路口向南100米路西（丁庄十字路口西南角）
高福记自助水饺,13403914949,解放区王府井西门对面
石鼎鱼主题餐厅(温县店),0391-6112555,温县司马大道与太行路交叉口南行100米路东（中原鞋城对面）
二胖擀面皮,0391-8165086/13782766956,孟州市武松公园聚仙池北（西河阳大街北）
粉爱面,0391-8192588,孟州市汇丰步行街北口向南200米路西
熙湖烤鸭,18039133391/18336818333,解放区工业路中州集贸市场南门对面
小马哥金钱麻辣爆肚,15093711566,武陟县和平路老胖发祥斜对面
啥面面馆(和平路总店),15893059222/13723166105,武陟县和平路与朝阳二街交叉口向南30米路西
华莱士炸鸡汉堡(学生餐厅),0391-2973668,解放区学生路3号（民主路与学生路交叉口东北角）
好利来形象蛋糕房(解放中路店),0391-2929842,解放区解放中路与新华街交叉口向东50米路北
简简单单甜点屋,0391-5611369/13523345322,沁阳市建设北路馨园小区东楼第6号商铺
华莱士炸鸡汉堡(龙源店),0391-3586199/15239001793,山阳区映湖路2715号龙源小区旁（焦作汽车总站对面）
麦克思汉堡(沁阳店),0391-5611198,沁阳市怀府路与南大街交叉口向南300米焦100联盟店1楼8号
麦克思(温县店),0391-6133666,温县人民大街盛弘尚都购物中心一楼
王婆大虾,0391-5190688/18339735552,沁阳市怀府西路与香港街交叉口西100米路南（丁庄综合楼新人民医院东200米）
麦多馅饼(武陟店),18790239626,武陟县和平路财政局对面（老胖发祥向北80米）
五谷渔粉(老体育馆店),18739196053/18239106537,山阳区解放东路体育馆南门向西150米路南
多福居蛋糕(新华店),0391-2972975/18614924535,解放区新华街与解放路交叉口向北100米路西
麻辣香锅(香港城店),13603916762,解放区解放中路香港城四楼美食城内（香港城美食广场）
好享来十三元自助小火锅,13782819611,博爱县清化镇北关城北水席园往北100米路东
穆羊斋-岁岁羊火锅餐厅,0391-6139555,温县司马大道与太行路交叉口南行120米路西中原鞋城北侧（中原鞋城门北）
1983抹茶炒酸奶(和平街总店),15239005863,解放区和平街市场北门往西20米路南（十字路口处）
百克牛排(玫瑰城店),0391-5909279,沁阳市怀府中路玫瑰城3楼
重庆大队长主题火锅,0391-2619777/15538961977,解放区大杨树街与果园路交叉口
阿利茄汁面(火车站店),0391-8369001,解放区火车站对面（站前路力士服装厂东20米路北）
高记纯手工凉皮米皮擀面皮,15503917432,武陟县和平路与兴华路交叉口（老二院对面）
御香奇时尚火锅,0391-3836689,沁阳市适居路与文化路交叉口新一中家属院门口
槐店王婆大虾(月季店),0391-2601118,解放区月季公园北门对面东100米路北
新新澳门豆捞(丰收路店),0391-2980002,山阳区丰收路龙源世家商业步行街北头（房管局东邻）
五谷渔粉,0391-7391806,武陟县朝阳一街与和平路交叉口东行50米
豪君来中西餐厅,18639160899,武陟县焦作和平路与沁河路交叉口北30米（丰泽园楼下）
五谷渔粉(卫校西街总店),18639187751,解放区卫校西街南头无极限旁边路东
豪享来牛排(焦作塔新店),0391-3373665,山阳区摩登街2号（大商超市隔壁）
五谷渔粉(中站店),15093734231,中站区解放西路好爱家正对面
红沙龙蛋糕,0391-2618752,解放区建设路与民主路交叉口向南50米路东（民主路口）
槐店王婆大虾(博爱店),0391-8625008,博爱县S308道与大练线交叉口东北角（博爱体育馆东北角）
招牌花甲,18739175188/13939128291,解放区解放中路贸易大厦北门（金脚丫鞋城西门北边）
十年老店炸鸡腿(原一口香门口炸鸡店),18739123323,博爱县老新世纪北门第一家，绝味鸭脖西邻（原一口香门口，老炸鸡店搬迁至此）
清阁苑食府(政二街店),0391-2987999,解放区政二街中段路西
金华旗私房酵香(二医院店),0391-2626001,解放区民主路二医院对面
佰味黄焖鸡米饭,13523363941,沁阳市怀府中路TCL专卖店隔壁
章鱼小丸子,15738541764,解放区人民路王府井六楼仙芋甜品隔壁（横店电影院对面）
佳客来牛排专家(万达店),0391-3651818,解放区丰收路万达4楼
君悦清真西餐厅(王府井店),0391-2981999,解放区人民路王府井6楼
哥德咖啡(太行大道店),0391-5292999,沁阳市太行大道208号怀府世家1-2楼
权记老汉口热干面,0391-8577779,孟州市河阳街聚仙池对面
石鼎鱼(武陟总店),0391-6313555,武陟县朝阳二路龙泉湖西侧
好利来(月季店),0391-2608188,解放区三维月季超市向西10米
7圈半烘焙之家,15514748705,沁阳市怀府中路怀庆派出所斜对面
正新鸡排(柯楠店),0391-3685687/17339166655,山阳区韩愈路与玉溪路交叉口西北角
大长垣(焦东店),0391-3972333,山阳区解放东路117号（解放路与东二环路交叉口西行80米路北）
咔咔花甲,13069415873,解放区月季农贸市场东门向西100米路北
金桂园艺术烘焙(沁阳店),0391-5652899,沁阳市润泰超市楼下
小风铃咖啡,0391-8791888,山阳区塔南路与摩登街交叉口向东150米路南
华莱士炸鸡汉堡(和平餐厅店),0391-3921158,山阳区塔南路与和平街交叉口向南50米路西
蜜雪冰城(东大街店),13782855565,武陟县红旗路与东大街交叉口
I DO甜点,18137317727,沁阳市自由门向南200米老海泉中学对面
多福居蛋糕(艺新店),18272739873,山阳区解放中路维多利亚酒店对面
花千代秘制烤鱼(王府井五楼店),0391-8822366,解放区人民路与民主南路交叉口东北角王府井百货5楼
鲁西西披萨,18153073268,山阳区山阳路与博爱路交叉口向北20米路西（师专西门福润多超市旁边）
华莱士炸鸡汉堡(老胖发祥店),0391-7232388,武陟县老胖发祥向南50米路西
槐店王婆大虾,0391-7290898,武陟县黄河大道与朝阳三街交叉口向北40米路东
曼可基,0391-8186766,孟州市韩愈大街新合作超市西门
豪享来牛排(三维店),0391-2288077,解放区解放中路908号（三维商业广场1楼）
开口香黄焖鸡米饭,0391-8307790,山阳区焦东老体育馆对面
蜀川烤鱼,13523340330,博爱县中山路新世纪生活广场5楼
巧妈烤肉拌饭(山阳分店),15539166828,山阳区塔南路欧凯龙家居广场北100米路西
月见寿司,13603912302,解放区百货大楼商业街步行街东侧（老庙银楼向北50米）
正宗武汉热干面,13938137273,山阳区博爱路和山阳路交叉口师专西门对面
小赵生煎馒头,15893000879,解放区新华中街百货大楼超市往北200米路东
N多寿司(铜马汽车站店),15239133542,解放区铜马汽车站售票厅旁
醉爱花甲面,15639108287,山阳区博爱路师专西门斜对面北行50米路西
小公鸡黄焖鸡米饭,13782735600,沁阳市怀府西路与沁园北路交叉口北50米
杨铭宇黄焖鸡米饭(时代广场店),0391-3879799,沁阳市怀府东路时代广场对面
御庆府胡辣汤,0391-8782345,山阳区新城街道长恩路与博爱路交口新师专门口向西200米（爱心大药房旁）
金麦烘焙(东关店),13403904521,博爱县人民医院北门向东20米路北
五谷渔粉(景文百货店),18739198592,解放区和平中街86号（景文百货商场三楼电梯口）
小马哥金钱麻辣爆肚,15039159557,山阳区山阳路与博爱路交叉口向西50米路北（师专斜对面）
N多寿司(艺新店),13782872761,山阳区解放路山阳建国饭店对面
华莱士炸鸡汉堡(孟州店),13283916658,孟州市东河阳大街58号
烙馍香饭店,0391-2993068,山阳区映湖路龙源世家临街商铺2729号
君悦清真西餐厅(丹尼斯店),0391-3690909,山阳区塔南路与人民路交叉口丹尼斯百货南门
嘉园大酒店,0391-3297999,山阳区太行路与焦东路交叉口东北角（新东公司东邻）
八仟万干锅鸭头(焦东店),0391-3950008,山阳区解放路与焦东路交叉口北200米路西（中旅银行北侧胡同内20米路北院内）
老雒阳面馆(沁阳店),0391-5685789,沁阳市怀府路与香港街交叉口东50米路南
星期天冷饮店,13183121215,山阳区李万街道玉溪路1905号
豪爽来,0391-8166686,孟州市西韩愈大街景文百货2楼
大榕树火锅,0391-2767555,山阳区建设路艾趣精致酒店东50米
华莱士炸鸡汉堡(怀府餐厅),0391-5909988,沁阳市怀府中路69号（时代广场）
清真农夫大盘鸡,18639914344,解放区解放路与新华街交叉口南150米路东
宁夏胡羊排(温县古温街店),0391-6185777,温县古温大街与振兴路交汇北行30米路西
味知苑老北京烤鸭店(人民路店),0391-2552999/3381888,山阳区塔南路与人民路交叉口路西20米（人民路口）
带劲烧烤工场(二分店),0391-2627999,解放区站前路与南通路交叉口东100米路南
清真速味居黄焖鸡米饭,18739155315,沁阳市人和北路与怀府西路交汇
农夫大盘鸡(和平路店),0391-3813366,武陟县和平路育才小学向北20米路西
恰好鱼见你?藤椒鱼米饭(新华街总店),0391-2929718,解放区解放路与新华街交叉口南200米路西（香港城西门斜对面）
五谷渔粉(中站惠利佳店),17339132910,中站区跃进路大张惠利佳超市斜对面（智慧幼儿园旁边）
刘一锅筋头巴脑餐厅(温县店),0391-6183555,温县太行路东段交警队对面
李想大虾火锅花园(武陟店),15236169762,武陟县黄河大道交通局对面
李想大虾火锅花园(温县店),0391-6198000,温县司马大街中原鞋城南30米路西
穆羊斋-岁岁羊,0391-7680555,武陟县映湖路龙泉湖游乐场正对面
五谷渔粉(龙源湖店),13782682485,山阳区龙源湖小学东边恒达水果超市斜对面
陈福记,15839119039/15839146160,沁阳市怀府中路玫瑰城A馆3楼（蓝十字大药房楼上）
润仟祥黄焖鸡米饭(和平路店),15738558669,武陟县和平路育才学校向南40米路西
四川冒菜,13393879552,解放区步行街香港城四楼美食广场
好利来(工业路店),0391-3288566,山阳区焦东路与工业路东北角
五谷渔粉(摩登街店),13839107155,山阳区摩登街与新丰一街交叉口西南角
韩遇幸福里芝士年糕料理,15670865122,山阳区摩登街中段嘎嘎酒吧东邻
