韩风源烧烤涮自助餐厅(登封店),0371-62991188,登封市少林大道223号（新世纪大酒店东隔壁）
优乐涮烤自助餐厅,18039502658,登封市少林大道与阳城路交叉口向南50米路西（阳城路1号转盘南50米路西未来宜居酒店二楼）
金诺郎烧烤涮自助餐厅,0371-62996868,登封市嵩阳路与南一环交叉口东北角
台湾奶香脆皮麻花(登封店),18530807790,登封市登封市少林大道172号
麦加美汉堡(卢店镇店),0371-60163877/13721426222,登封市卢店镇新康家超市一楼（娜利水果行旁）
锅大侠火锅(登封店),0371-60163456,登封市中岳大街与嵩山路交叉口东50米路北（冠之讯手机特卖场登封旗舰店楼上）
爱尚嘉蛋糕,15838272983,登封市嵩山路与洧河路交叉口西40米路北
京成一品韩式烤肉涮锅自助餐厅,0371-85032999,登封市嵩阳路252号（嵩阳路与大禹路交叉口东150米路北，康家超市B1楼）
老狼大盘鸡(登封店),0371-56068095,登封市崇高路与嵩山路交汇处向西100米路南（北街幼儿园对面）
驴肉火烧,18931765476,登封市中岳大街与守敬路交叉口西北角
戴妃麦客,0371-62868333,登封市望箕路与东关街交叉口东北角
佳客来(登封大润发店),0371-62811889/15638115669,登封市南二环路大润发一楼A区（登封市清华园学校斜对面）
茄汁面(登封店),0371-62833199,登封市东关街与嵩阳路交叉口向东100米路南（卫生监督所北）
花千代秘制烤鱼,0371-62709111,登封市南一环与嵩阳路交叉口向西50米路北
纪梵昔西餐厅,0371-62822998,登封市南一环与菜园路交叉口路东
德克士(中天广场店),0371-62926668/62936668,登封市中岳大街与嵩山路北300米路东（嵩山路邮电局斜对面）
一口钟熟食店,18538765631,登封市守敬路与南环路交叉口北100米路西
花雕醉鸡(登封店),15036166226,登封市少室路北段嵩阳中学北200米路东（嵩阳景区南300米路东）
西西里餐厅(LY.BBK),0371-62992333/15206408599,登封市大禹路与滨河路路口向东400米路南
麦加美汉堡(大润发店),0371-55851288,登封市南二环与谷路街交叉口向西30米路北（大润发一楼）
锦味自助水饺,0371-55155858,登封市中岳大街与崇福路交叉口东250米路北（东关浴池对面）
郑记烩面,15138455455,登封市中岳大街与崇福路交叉口向北100米路东
麦加美(告成店),0371-62963788,登封市告成镇告成大街观星台广场西68米路南
七若滋烘焙,0371-85032666,登封市南环二路登封大润发商场底商
农夫大盘鸡(嵩阳路店),13526429204,登封市嵩阳路古城新村11巷（嵩阳路与大禹路向南500米路东）
屈氏一品大虾,0371-60167779,登封市谷路街与颖河路交叉口向南10米路西
大师傅蛋糕,0371-62896757,登封市嵩山路与东关街交叉口东南角
香香羊自动回转小火锅,0371-60167679,登封市中岳大街与嵩山路交叉口向东100米（中岳大街房管局西隔壁，购物广场对面）
一品王婆大虾(登封店),0371-62796688,登封市嵩阳路与少林路交叉口向南50米路东（蜀正园酒店旁边）
在他乡自助水饺涮菜,15324873123,登封市大禹路与书院河路交叉口向西15米路北
槐店王婆大虾(登封店),0371-62899166,登封市崇高路与崇福路交叉口向东50米路北
好运来蛋糕(中岳大街桥头店),0371-56025399/13838522185,登封市中岳大街与滨河路交汇处向东50米路北
爱辣啵啵鱼(谷路街店),0371-62870766/13007521569,登封市南一环与谷路街交叉口向南100米路东（近白坪新区实验学校）
娜娜大盘鸡(菜园路店),15617732681,登封市菜园路与颖河路交叉口路西（嵩基?鸿润城西100米）
好运来蛋糕,13140101929/18736088131,登封市颖河路与谷路街交叉口向南150米路东
郏县??面,18768887769,登封市崇高路与守敬路交叉口向西100米路南（高招办对面）
麦基客汉堡,0371-62708895/15838184160,登封市南一环与通达路交叉向南30米路东（通达路小学对面）
齐祺渔锅,0371-55851678,登封市南一环与菜园路交叉路口
娜娜烘焙,15565076192/13838103909,登封市嵩阳路与洧河路交叉口向北100米路西
农夫大盘鸡(崇高路),0371-62836669,登封市崇高路与嵩山路交叉口向东100米路北
火吧自助KTV,0371-69052888,登封市谷路街与颖河路交叉口路南
农夫大盘鸡(少室路店),0371-62888600,登封市少室路与太室路交叉口向南50米路西（嵩阳中学向北150米路西）
重庆憨哥火锅,0371-62960333/62967333,登封市书院河路与大禹路交叉口向北150米路西
申记明发烩面,18135676369,登封市守敬路与崇高路交叉口南50米
豆花日记甜品店,15503750780,登封市西关街市直一初中学东100米路北
心意达面包屋,15516977806/13838078193,登封市卢店镇新市场娜丽水果商行北
耀兴隆热干面,13598832838,登封市嵩山路与东关街西80米路南
奇白石大虾,0371-62876669,登封市市区菜园路南段郑煤小区（菜园路南一环路东南）
江湖菜,0371-56673764,登封市崇高路386号（双溪园附近）
清真那家烩面馆,0371-62906166/13938565738,登封市颖河路与少室路交叉口南50米路西
李想大虾火锅花园(崇高路店),0371-62736607/13525537210,登封市崇高路与崇福路交叉口向东130米路南
小李飞刀削面馆,18737177567,登封市洧河路与嵩阳路交叉口向西20米路南
86度C蛋糕?面包,15737106828,登封市316省道新市场娜丽水果商行北10米路东（康家超市一楼）
十六哥的炒鸡店,15936293930,登封市崇高路与崇福路交叉口向东200米路北（崇高路小学西50米）
爱尚三汁焖锅(大润发店),13938598259,登封市南二环大润发商场A区三楼
洪七公吃串串火锅,0371-69051518,登封市颍河路与少室路交叉口向西200米路南登封文化城二楼西
