状元烤场(大学路总店),0371-86062929/400-003-1321,二七区大学路与中原路交叉口向南100米路东永辉超市2楼
方燕烤猪蹄(安微名吃二七广场一店),19939500377,二七区裕元里百年德化步行街六道巷北门门口1楼
欧啦自助火锅,0371-63671166,金水区南阳路与东风路交叉口向北300米路西（依之妮店楼上）
方燕烤猪蹄(安微名吃二七广场二店),15639902995,二七区兴盛路六道巷内61号傣妹火锅楼下
汉釜宫海鲜自助烧烤涮(曼哈顿店),0371-53788868/18224523239,金水区金水路与未来路交叉口曼哈顿广场奥斯卡电影院东南侧斜对面二楼
鑫海汇海鲜烤肉自助(华联商厦店),0371-85966331/85966332,二七区民主路3号华联商厦5层
釜山第一烤场烧烤涮自助餐厅(二七万达店),0371-61770302,二七区航海路与大学路交叉口二七万达金街132号（3号门出口）
诸葛烤串(百年德化店),13283871958,二七区彩虹路德化新街负一楼5号口
锅大侠火锅(德化步行街店),0371-66960999,二七区德化步行商业街100号天成珠宝3-4楼（近火车站）
喜虾客(无限城店),0371-60205952,二七区德化街德化无限城4楼
醉巴鲜烤鱼(国贸店),0371-68869168/60980389,金水区丰产路与花园路交叉口往北50米国贸360负一楼家乐福超市入口处
状元烤场(东风路天旺店),0371-88815511/400-003-1321,金水区东风路与天明路交叉口向西100米路北天旺优库3楼
汉丽轩烧烤涮自助餐厅(瀚海北金店),0371-56081599,金水区北金时尚购物广场2层B01室
韩风源自助烤肉(西大街直营店),0371-55136837,二七区西大街与南顺城街交叉口向东200米路南（郑州三中隔壁）
佰烧海鲜烤肉自助(锦艺店),0371-88811768/88812768,中原区桐柏路与棉纺路交口锦艺城购物中心3楼B区
韩风源自助烤肉(建文店),0371-55396123,金水区黄河路与文化路交叉口向东100米中孚大厦2楼
鼎极金牌自助烤肉火锅(航海路店),0371-53766669,管城回族区航海东路富田太阳城东方美食街107号（西北角，盛庭酒店一楼）
优乐烤涮海鲜自助餐厅(工人路店),0371-60921517,中原区工人路和航海路交叉口向北100米路东（航海路口北）
巴西金牌烤场(紫荆山店),0371-66239728,金水区紫荆山路人民路南50米（紫荆山百货南门对面）
老陈鸭肠王,13033730333,二七区京广路与永安街交叉口向西200米路北（椒盐豆腐）
启缘海鲜烤肉自助餐厅(二七广场店),0371-63384633,二七区百年德化风情购物公园B区二楼
方燕烤猪蹄(安徽名?二七万达店),15638123727,二七区大学南路二七万达金街1号门南50米路东（杨国有麻辣烫对面）
宋公子牛排海鲜自助(无限城店),0371-55912885,二七区德化街36号无限城购物中心5层
汉轩宫烤肉火锅自助餐厅(沃金店),0371-55338866,中牟县航空港区郑港四街与郑港七路交叉口向南200米路西（沃金商业广场2楼）
傣妹火锅(德化店),0371-55621672/15136420116,二七区兴盛路百年德化三楼美食天街B区
