企业名称,法定代表人,联系电话,企业地址
郑州安永置业有限公司,胡平,0371-66535167,郑州市中牟县郑开大道与人文路交叉口东300米路北
中熹体育发展有限公司,韩佗,15093123368,河南自贸试验区郑州片区(郑东)金水东路中兴路交叉口2号楼309号4室
河南中欣铭建材有限公司,邵鑫,13140160726,河南自贸试验区郑州片区(郑东)中兴南路商都路西北角建正东方中心B座911号
河南玺唐实业有限公司,曹园园,15538214576,郑州市管城区金岱产业集聚区文治路与鼎尚街交叉口向北70米路东
河南竹桂园文化旅游创意有限公司,张华伟,0371-56565675,新郑市龙湖镇商业路南侧龙泊圣地-长滩二期B11号楼1.2层101
河南三和投资有限公司,王宝玉,18037799888,郑州市郑东新区金水东路11号院4号楼1单元15层43号
河南省中科新创进出口有限公司,郭东伟,18137529568,荥阳市豫龙镇中原西路与飞龙路交叉口
河南正商新雅置业有限公司,别三江,0371-66815299,新郑市龙湖镇京广南路与祥云路交会处西红河谷售楼部101
河南奥之鑫实业有限公司,张岗枪,18539263881,河南省郑州市中原区图强路东、支四路北6号楼1单元3层05
河南千捣糊健康产业发展有限公司,陈科,18137848111,郑州市管城区紫荆山路59号14层1411号
河南金宗科技有限公司,孙七方,18037126955,河南自贸试验区郑州片区(郑东)东风南路与东站南街升龙广场1号楼508号
河南迪凯尔教育咨询有限公司,赵冉,18039972194,郑州市金水区郑花路76号美景花郡3号楼1单元12层1201号
河南现代教育科技集团有限公司,李东兵,0371-66366632,郑州市郑东新区商都路100号1号楼1单元17层1703号
河南聚之和实业有限公司,马伟红,13526512840,郑州市金水区丰庆路56号3号楼西单元36号
河南雀之巢实业有限公司,赵贺选,13803999299,郑州市郑东新区康平路9号5号楼12层45号
郑州通达软件有限公司,王新民,13683718048,郑州高新技术产业开发区西三环路289号河南省国家大学科技园(东区)创新园5号楼3单元三层
河南长风装饰工程有限公司,王国伟,0371-85961900,郑州市管城区长江路南、团结路东、3幢2单元15层1501号
郑州驰之瑞商贸有限公司,张书辉,0371-65853226,郑州市金水区黄河路126号东1单元50号
河南金隆珠宝有限公司,庞桂芳,0371-66291058,郑州管城区紫荆山路72号2号楼11层
郑州仁泰轩医药科技有限公司,王永,13938361115,郑州市金水区花园路39号4号楼16层1608号
河南省弘宇供水材料有限公司,曹忠权,18239970733,河南省郑州市巩义市永安路与永通大道交叉口北50米
郑州嵩顶投资管理有限公司,钱大梁,13503868823,郑州经济技术开发区航海东路1405号中信广场五楼506室
河南钜丰矿业有限公司,李静,13938232365,郑州市金水区经三路北85号3号楼9层1-10号
郑州韩尚宫美容服务有限公司,李建伟,0371-67662999,郑州市金水区农科路25号
郑州铭洋环保科技有限公司,常唐明,0371-56030322,郑州高新区长椿路11号5幢E单元5层E5号
河南省裕兴陶粒有限公司,李建章,0371-64027999,巩义市涉村镇东涉村
河南圣源金属科技有限公司,贺江海,13603827158,巩义市西村镇常封村
郑州九方装饰工程有限公司,王文刚,15713890106,郑州市金水区文化路68号数码港1202号
河南晟之世企业管理咨询有限公司,周宁,17638191342,郑州市二七区青铜东路东、望桥路西、鼎盛大道南、芳仪路北1幢18层1802号
河南巨鹏消防器材有限公司,靳志卿,13353716970,郑州市金水区东明路218号索克大厦九层6902号
河南省中原通信有限责任公司,宋灿杰,18538122519,郑州市金水区经三路56号1号楼1201号
河南中圳消防工程有限公司,高际涵,0371-63761708,郑州市金水区中州大道1188号置地广场3号楼15层85号
河南精泽酒店用品有限公司,刁克,15515934333,郑州市管城区未来路858号5号楼1单元2层4号
河南宇瑞斯电子科技有限公司,王宇,13213132005,郑州市金水区文化路85号时代公寓3102号
河南引尚建筑工程有限公司,王丽娟,18903833541,河南省郑州市中原区电厂路19号正商明钻2期5栋8003号
郑州市凯达金属回收有限公司,王国恩,13223712617,郑州市中原区陇海西路与西环路交叉口路南
河南支农置业有限公司,王晓艳,13253355787,郑州市金水区丰庆路65号院世纪港湾23号楼19层147号
河南奥睿博科技有限公司,谢巍,18100332155,郑州市金水区经三路99号附1号鑫苑金融广场金座1813号
河南创辉印刷有限公司,吴蓓蓓,15324868815,郑州市金水区顺河路27号天弘大厦三层309号
河南世元工程机械销售有限公司,徐建军,13393716371,郑州市中原区建设西路66号院1号楼付1号
郑州聚丰电子科技有限公司,赵绘秋,18838222201,河南省郑州市荥阳市五洲城A区A2-3084
河南梧桐酒业有限公司,郭慧莹,13015511921,郑州市管城区商城路281号汉博商务528号
河南真给力标识标牌有限公司,牛秀平,18638761149,郑州市郑东新区商都路5号A7号楼1-3层07号
河南迈特电力设备有限公司,刘德祥,18037570806,郑州市金水区青年路146号5号楼2单元6层610号
河南金梵酒业有限公司,魏晓彦,18613719526,郑州市金水区南阳路324号院SOHO广场A座1208室
慧环郑州敏杰,李拴,15936229280,河南省郑州市新郑市孟庄镇双湖大道北侧林丰路东侧宽视界A5号楼1单元2层203
河南传涛装饰工程有限公司,聂传涛,13569574827,郑州市郑东新区金水东路、心怡路楷林国际B座2005室
郑州市新今东建材有限公司,马凯,18638525999,郑州市管城区花寨路16号院花都港湾12号楼9层南户
河南蓝富国际饭店管理有限公司,张少辉,15038007177,郑州市二七区大学路西汝河路北大学铭庭21层2103号
河南鸿之图装饰装修工程有限公司,王战彪,18137809685,郑州市金水区农科路9号11号楼1单元2层2号
河南飞扬航空科技有限公司,高朋,18838238900,郑州高新技术产业开发区长椿路与冬青街北软慧谷三楼A09号
郑州奥德乐商贸有限公司,张东泉,18697329933,郑州市金水区文化路85号A时代广场2010号
河南莱鑫生物科技有限公司,刘锐,15225190218,河南自贸试验区郑州片区(郑东)心怡路与康宁街交叉口亚新广场10层1012号
河南玛科斯电子商务有限公司,赵亚峰,18003865918,郑州市二七区大学南路99号中国中部电商港A座602号
河南钱坤电子科技有限公司,练文静,15324860363,郑州市二七区马寨镇学院路1号郑州科技学院众创中心408-4号
河南正午东阳工程咨询有限公司,李攀,18848835457,河南自贸试验区郑州片区(郑东)商务外环路17号格拉姆大厦B座1515号
郑州泉瑞建设有限公司,任志恒,13303815500,荥阳市建设路与关公路(飞龙路)交叉口
郑州坤瑞计算机有限公司,徐祥虎,15617659193,郑州市金水区文化路72号院16号楼2单元37号
郑州行大道商贸有限公司,魏军,13526599066,郑州市郑东新区商都路1号卖场二幢24层2434号
河南恒洲消防装备有限公司,张国涛,18538226757,郑州市金水区金水路297号2号楼2单元13层82号
郑州勇轩木业有限公司,孙毫,17703860926,新郑市107国道与万邓路交叉口向北500米路西(郑州大中帆布有限公司院内)
河南美日弘进出口贸易有限公司,倪茹,13938494129,郑州市金水区纬五路14号院1号楼3单元2204号
河南尧之月商贸有限公司,邓进府,13213969988,郑州高新技术产业开发区碧桃路109号21幢2单元5层220号
郑州君厦建筑工程有限公司,李志伟,17603872567,新郑市宏基路46号(与郑新路交叉口向西100米路北)
河南省茂利恒贸易有限公司,鲁巧仙,15038055559,郑州市中原区桐柏南路77号帝湖花园B区1号楼17层1701号
郑州凯旗电子科技有限公司,陈会会,13721445288,河南省郑州市二七区祥云路1号2号楼13层1302号
郑州向天歌电子商务有限公司,张伟晓,13938516106,郑州市金水区文化路68号数码港709A号
河南冠宇建材有限公司,陈亮亮,18137832233,郑州市郑东新区商都路22号D2号楼1-3层031号
郑州东升冶金新材料有限公司,慕永军,0371-69803158,新密市牛店镇西土门村
中牟县祥逸农牧专业合作社,王浩,13721431432,郑州市中牟县大孟乡盆王村南(农村商业银行对面)
河南天阔工程管理咨询有限公司,张永建,18937672782,河南省郑州市二七区郑密路126号3号楼东1单元21层2102号
河南鸿缘创鑫科贸有限公司,薛民西,15188313369,郑州市金水区东风路与信息学院路交叉口明天财智名座1924号
河南沃欣农业发展有限公司,张书学,13393700450,郑州市中牟县绿博文化产业园内锦荣路东、中央大道南、富贵七路C幢6层617号
河南拓康实业有限公司,张彦杰,15137145619,郑州航空港区新港办事处田王197号附1号
河南力斯顿电梯销售有限公司,胡延伦,13938290778,郑州市中牟县官渡大街东段路南
郑州辉昂医疗技术有限公司,元付吉,13598041305,郑州高新技术产业开发区冬青街26号4号楼1单元2层9号
河南辉卡辉电子科技有限公司,王金鹏,15617596606,郑州市管城回族区东三马路152号14号楼10层1004号
巩义市泽鑫铝制品销售有限公司,刘亚轲,13673689369,巩义市鲁庄镇赵城村
郑州正林纸制品包装有限公司,吕少博,13838307669,新密市刘寨镇东马庄村七组
郑州市燕舞宇翔工矿设备有限公司,袁松鸽,13938543588,登封市市区中岳大街西段
河南发阳实业有限公司,张国学,13613866278,河南自贸试验区郑州片区(郑东)东风南路与创业路交叉口绿地中心双子塔北塔18层1803号
郑州海盈建筑材料有限公司,蔡海光,15093461686,河南自贸试验区郑州片区(郑东)金水东路33号美盛中心写字楼9层907号
郑州天军建材有限公司,张天军,15738391319,郑州市中牟县郑庵镇后李庄村
河南捷誉医疗器械有限公司,王伯喜,13939098612,郑州市中原区棉纺西路36号1幢22层2210号
郑州豪志物流服务有限公司,王磊,13343859991,郑州高新技术产业开发区莲花街锦和苑11号楼2001室
郑州广乾隆商贸有限公司,王文明,18037806619,荥阳市三公路与中原路交叉口东北角A6幢1012号
郑州旭捷信息科技有限公司,陈天飞,13676939239,郑州市金水区杨金路牛顿国际B座12层01-1室
河南梅久信息科技有限公司,耿美琴,15639265523,河南自贸试验区郑州片区(郑东)商务外环路众意路路劲大厦6楼603号
河南军鹰素质教育发展有限公司,卢会军,18737122168,郑州市郑东新区聚源路49号6层612号
河南百特物业服务有限公司,张修炎,15537188583,郑州市金水区经三路55号院关虎屯新区五号楼2单元1楼15号
郑州鸿豫矿产品有限公司,宋灿生,13838166333,登封市宣化镇七里庙村
郑州亚春新房地产营销策划有限公司,谷亚伟,13910420217,郑州市金水区文博东路29号院10号楼一层09号
新郑市留金种植专业合作社,王留柱,13598072830,新郑市具茨山国家级森林公园管理委员会驼腰村
河南梓民商贸有限公司,郭慧君,15690865999,郑州市金水区任砦北街3号院1号楼东1单元2层2号
郑州市召治建筑劳务有限公司,常书召,13073735473,河南省郑州市新郑市孟庄镇南常口村一组98号
郑州润利信息技术有限公司,刘科学,0371-63595112,郑州市金水区东风路28号院6号楼1单元20层2001号
郑州仨义货物运输有限公司,郭伟地,13783581540,河南自贸试验区郑州片区(经开)航海路十八大街经北四路6号楼陆港酒店2楼203室
河南省益知行商贸有限公司,麻光宇,18538000388,郑州市管城区南关街36-1号
郑州京泉软件科技有限公司,侯彬斌,17320193795,郑州市金水区福元路银基王朝三期4号楼11层1105号
郑州宏之远工程机械有限公司,曲韶辉,15981905120,郑州市二七区京广南路10号院中岳大厦3单元19层1912号
郑州卓阳照明器材有限公司,张卓颖,13938255201,郑州经济技术开发区朝凤路18号亚太明珠3号楼1单元7层702号
河南省夺冠体育俱乐部有限公司,白少飞,0371-55262555,郑州高新技术产业开发区樱花街5号八层818号
郑州轩帅线缆有限公司,吴克槐,15515502868,郑州市惠济区长兴路长兴大厦5楼502号
河南书山教育科技有限公司,刘俊瑞,15890077581,郑州市二七区大学路18号15层1507号
河南瀚丰教育科技有限公司,郝俊杰,18037379125,河南自贸试验区郑州片区(郑东)升龙广场1号楼B座412室
郑州赛燕商贸有限公司,赛艳艳,13674902008,郑州市金水区金水路201号6号楼18层1809号
郑州欧亚之星物流有限公司,董胜利,15516191566,郑州市郑东新区正光路111号12号院1号楼3单元18号
河南御诚厨具有限公司,王社东,15225193092,郑州市管城区航海东路869号3号楼1单元13层1301号
巩义市龙盛昌炉料有限公司,孙孬,13607677606,巩义市竹林镇孙寨村
